WKT,gini_index
"POLYGON ((-97.749242 30.215221,-97.736254 30.21429,-97.73498 30.215336,-97.727955 30.214325,-97.716396 30.213057,-97.71114 30.212347,-97.708522 30.212752,-97.703521 30.214386,-97.699831 30.21535,-97.690744 30.218272,-97.68955 30.216364,-97.687601 30.21558,-97.685268 30.216932,-97.688233 30.21957,-97.683288 30.22229,-97.68204 30.222916,-97.67908 30.223272,-97.676611 30.222346,-97.679304 30.224154,-97.6823 30.229302,-97.683651 30.232377,-97.683799 30.233664,-97.685482 30.237235,-97.688933 30.242033,-97.69038 30.242349,-97.69128 30.245176,-97.694981 30.245309,-97.699581 30.246909,-97.700481 30.248709,-97.701878 30.250204,-97.705281 30.250609,-97.713506 30.250432,-97.715936 30.249823,-97.717863 30.248615,-97.723382 30.246509,-97.729782 30.248109,-97.734424 30.250209,-97.735994 30.250611,-97.735028 30.245863,-97.735631 30.243214,-97.741273 30.233771,-97.742316 30.231017,-97.744656 30.227095,-97.747316 30.223186,-97.743908 30.21963,-97.743984 30.216203,-97.747168 30.216522,-97.749349 30.216348,-97.749242 30.215221))",0.4527
"POLYGON ((-97.747634 30.305576,-97.749297 30.304149,-97.75009 30.302673,-97.747463 30.300144,-97.747576 30.298997,-97.749049 30.298886,-97.749574 30.297108,-97.7474 30.29272,-97.747739 30.292338,-97.751232 30.291921,-97.753248 30.288795,-97.754462 30.284353,-97.751098 30.28211,-97.75091 30.279995,-97.750432 30.28056,-97.751709 30.283765,-97.749817 30.283939,-97.738107 30.280688,-97.737628 30.281666,-97.735232 30.28172,-97.734666 30.283289,-97.734989 30.284542,-97.734056 30.285215,-97.734037 30.287097,-97.737022 30.287349,-97.737218 30.285527,-97.738383 30.284896,-97.74181 30.285,-97.741354 30.289813,-97.74025 30.289755,-97.740477 30.287397,-97.73934 30.286659,-97.738927 30.291824,-97.736583 30.291654,-97.735705 30.292202,-97.734735 30.290956,-97.734688 30.289326,-97.733607 30.287574,-97.733695 30.285315,-97.732794 30.285231,-97.731893 30.286937,-97.730166 30.286803,-97.730973 30.283918,-97.727401 30.283078,-97.72013 30.294284,-97.720617 30.295383,-97.723143 30.296542,-97.723412 30.295638,-97.733548 30.30053,-97.733085 30.301291,-97.737643 30.303493,-97.732976 30.310843,-97.737571 30.313464,-97.74311 30.305195,-97.748003 30.307218,-97.747634 30.305576))",0.6857
"POLYGON ((-97.69038 30.242349,-97.688933 30.242033,-97.685482 30.237235,-97.683799 30.233664,-97.683651 30.232377,-97.6823 30.229302,-97.679304 30.224154,-97.676611 30.222346,-97.674016 30.221226,-97.66892 30.218624,-97.666583 30.22082,-97.668783 30.222492,-97.670309 30.221174,-97.671177 30.222949,-97.672452 30.224282,-97.672017 30.225759,-97.673222 30.226769,-97.674553 30.22666,-97.669258 30.231489,-97.664256 30.228433,-97.663547 30.226786,-97.661689 30.22526,-97.658634 30.228087,-97.65813 30.228095,-97.655457 30.23059,-97.65357 30.233036,-97.651671 30.233779,-97.650143 30.23523,-97.647743 30.236407,-97.645525 30.236553,-97.641842 30.237681,-97.636729 30.238693,-97.633553 30.239666,-97.630436 30.242681,-97.626627 30.248323,-97.625901 30.249826,-97.625789 30.252332,-97.626229 30.255112,-97.62863 30.255996,-97.631858 30.255694,-97.640624 30.256502,-97.641623 30.257211,-97.641627 30.261753,-97.642659 30.262476,-97.647958 30.263054,-97.65968 30.261809,-97.670104 30.255377,-97.67167 30.252232,-97.673091 30.250524,-97.676633 30.248042,-97.67962 30.246827,-97.68484 30.245782,-97.689218 30.245195,-97.690289 30.24579,-97.69128 30.245176,-97.69038 30.242349))",0.4465
"POLYGON ((-97.777884 30.308306,-97.781484 30.303606,-97.783891 30.300785,-97.78598 30.297441,-97.785527 30.292614,-97.785336 30.286148,-97.784268 30.28431,-97.780348 30.2805,-97.776663 30.277539,-97.772562 30.274647,-97.769682 30.27162,-97.766711 30.269886,-97.760657 30.267526,-97.755984 30.26542,-97.754495 30.264975,-97.754154 30.266948,-97.755684 30.267751,-97.754453 30.270237,-97.752264 30.268565,-97.751217 30.26856,-97.750586 30.270296,-97.751445 30.27349,-97.752085 30.274034,-97.750183 30.276808,-97.751111 30.278585,-97.75091 30.279995,-97.751098 30.28211,-97.754462 30.284353,-97.753248 30.288795,-97.751232 30.291921,-97.747739 30.292338,-97.7474 30.29272,-97.749574 30.297108,-97.749049 30.298886,-97.747576 30.298997,-97.747463 30.300144,-97.75009 30.302673,-97.749297 30.304149,-97.747634 30.305576,-97.748003 30.307218,-97.750742 30.307251,-97.754639 30.308569,-97.757808 30.309068,-97.756783 30.314842,-97.756178 30.319739,-97.757048 30.324072,-97.758336 30.325493,-97.762954 30.328107,-97.768601 30.321184,-97.763809 30.318779,-97.767355 30.313654,-97.76904 30.314529,-97.7716 30.313164,-97.773834 30.312598,-97.775884 30.313606,-97.777884 30.308306))",0.547
"POLYGON ((-97.823517 30.229273,-97.824415 30.229721,-97.828334 30.224873,-97.824875 30.222794,-97.832202 30.211002,-97.833557 30.209343,-97.839648 30.199552,-97.840326 30.19945,-97.844942 30.200414,-97.847041 30.196254,-97.843036 30.194306,-97.84235 30.195341,-97.831461 30.19005,-97.829965 30.190139,-97.828505 30.19093,-97.826113 30.190729,-97.815814 30.185695,-97.81206 30.185498,-97.799406 30.185783,-97.795187 30.185618,-97.792672 30.183876,-97.788993 30.182673,-97.786233 30.183275,-97.784864 30.182929,-97.781978 30.183397,-97.785277 30.172951,-97.78877 30.174295,-97.789644 30.174311,-97.790959 30.16726,-97.786254 30.166975,-97.772336 30.188149,-97.764879 30.197719,-97.75835 30.205699,-97.756213 30.207664,-97.750659 30.216499,-97.754124 30.216234,-97.75759 30.217861,-97.756901 30.219231,-97.762582 30.221978,-97.764171 30.22248,-97.769672 30.226185,-97.772504 30.227259,-97.783297 30.227527,-97.784649 30.227818,-97.790018 30.230353,-97.790875 30.228989,-97.792805 30.22991,-97.791955 30.231266,-97.79621 30.233339,-97.796557 30.234042,-97.80152 30.232506,-97.803529 30.231482,-97.805658 30.231325,-97.811542 30.23325,-97.818116 30.232895,-97.82094 30.233204,-97.823517 30.229273))",0.3981
"POLYGON ((-97.765916 30.264673,-97.767547 30.264111,-97.771507 30.263601,-97.774827 30.263652,-97.778197 30.262841,-97.780728 30.262599,-97.784823 30.261096,-97.7842 30.25935,-97.785172 30.25751,-97.789643 30.255655,-97.795716 30.253427,-97.796776 30.248652,-97.796216 30.247716,-97.792168 30.247833,-97.789479 30.246395,-97.788899 30.245601,-97.788865 30.243431,-97.789934 30.242069,-97.792185 30.241836,-97.793191 30.24294,-97.797307 30.244891,-97.800945 30.245255,-97.802487 30.244692,-97.797907 30.23552,-97.796557 30.234042,-97.79621 30.233339,-97.791955 30.231266,-97.792805 30.22991,-97.790875 30.228989,-97.790018 30.230353,-97.784649 30.227818,-97.783297 30.227527,-97.772504 30.227259,-97.769672 30.226185,-97.764171 30.22248,-97.762582 30.221978,-97.756901 30.219231,-97.75759 30.217861,-97.754124 30.216234,-97.750659 30.216499,-97.749349 30.216348,-97.747168 30.216522,-97.743984 30.216203,-97.743908 30.21963,-97.747316 30.223186,-97.744656 30.227095,-97.742316 30.231017,-97.741273 30.233771,-97.735631 30.243214,-97.735028 30.245863,-97.735994 30.250611,-97.737846 30.251523,-97.740982 30.254788,-97.742219 30.258604,-97.74368 30.260695,-97.744892 30.26153,-97.749732 30.263589,-97.754495 30.264975,-97.755984 30.26542,-97.760657 30.267526,-97.765916 30.264673))",0.4823
"POLYGON ((-97.888515 30.22856,-97.893223 30.22106,-97.894442 30.217975,-97.893273 30.215929,-97.89318 30.213053,-97.892446 30.211719,-97.889277 30.208792,-97.885469 30.203822,-97.883118 30.202209,-97.878278 30.200515,-97.87942 30.197428,-97.880168 30.196449,-97.879117 30.196067,-97.875497 30.198061,-97.873883 30.197878,-97.869488 30.195866,-97.867706 30.195901,-97.865543 30.1947,-97.866206 30.192467,-97.866053 30.190927,-97.864802 30.190272,-97.862961 30.190602,-97.86078 30.18821,-97.861548 30.186563,-97.86298 30.185403,-97.86389 30.183631,-97.863548 30.182203,-97.861766 30.180204,-97.858573 30.178144,-97.853761 30.177403,-97.843036 30.194306,-97.847041 30.196254,-97.844942 30.200414,-97.840326 30.19945,-97.839648 30.199552,-97.833557 30.209343,-97.832202 30.211002,-97.824875 30.222794,-97.828334 30.224873,-97.824415 30.229721,-97.823517 30.229273,-97.82094 30.233204,-97.824774 30.234936,-97.824827 30.235416,-97.831859 30.236446,-97.839824 30.236448,-97.846075 30.23597,-97.845697 30.233804,-97.847435 30.233886,-97.849154 30.235459,-97.850983 30.235141,-97.858079 30.234956,-97.860644 30.235296,-97.864779 30.234061,-97.864501 30.232521,-97.865165 30.231457,-97.867449 30.232986,-97.869509 30.232726,-97.870233 30.231877,-97.871772 30.232657,-97.871638 30.233993,-97.874723 30.233418,-97.880462 30.230093,-97.882167 30.229399,-97.885168 30.228978,-97.888305 30.229195,-97.888515 30.22856))",0.3562
"POLYGON ((-97.710107 30.415412,-97.710078 30.411244,-97.711586 30.410131,-97.714476 30.408889,-97.715853 30.407816,-97.720924 30.406779,-97.723456 30.405472,-97.728046 30.40209,-97.727851 30.399697,-97.728683 30.396026,-97.729445 30.394768,-97.733745 30.384544,-97.735834 30.37918,-97.737901 30.379756,-97.741128 30.371958,-97.739397 30.37144,-97.739606 30.370436,-97.73652 30.377579,-97.736119 30.377763,-97.730929 30.374718,-97.726302 30.373232,-97.720974 30.37034,-97.719538 30.368933,-97.717797 30.363135,-97.719225 30.362804,-97.719104 30.361066,-97.716875 30.360377,-97.715503 30.35555,-97.714399 30.350802,-97.713452 30.348032,-97.712787 30.347273,-97.712439 30.347805,-97.710487 30.350057,-97.705638 30.353351,-97.708929 30.355363,-97.705885 30.357507,-97.704359 30.357002,-97.702688 30.355497,-97.700387 30.357273,-97.701406 30.358298,-97.701167 30.36186,-97.699749 30.362519,-97.698259 30.365486,-97.698417 30.365993,-97.695582 30.370674,-97.694757 30.371069,-97.693009 30.370175,-97.687684 30.37954,-97.691649 30.381474,-97.690839 30.38263,-97.689372 30.383243,-97.686375 30.38193,-97.684253 30.386056,-97.680523 30.395119,-97.680051 30.397286,-97.681744 30.398218,-97.68105 30.39956,-97.679397 30.399152,-97.679081 30.402818,-97.678166 30.407896,-97.681415 30.408947,-97.695756 30.415809,-97.696507 30.414907,-97.698581 30.415365,-97.697737 30.416664,-97.701558 30.418644,-97.70519 30.421035,-97.708211 30.4179,-97.710107 30.415412))",0.4141
"POLYGON ((-97.857106 30.397877,-97.858586 30.396899,-97.86281 30.395623,-97.866917 30.394772,-97.867101 30.393104,-97.864372 30.393713,-97.864323 30.392403,-97.867185 30.387925,-97.86838 30.387802,-97.869661 30.385912,-97.868651 30.38562,-97.871599 30.380984,-97.877128 30.370771,-97.874205 30.370703,-97.872433 30.369318,-97.871033 30.369145,-97.870951 30.366141,-97.871945 30.365783,-97.873451 30.357371,-97.874494 30.355823,-97.877168 30.355054,-97.875676 30.352121,-97.876339 30.349046,-97.874785 30.34724,-97.875198 30.346588,-97.879845 30.344791,-97.87987 30.344291,-97.874417 30.346169,-97.8664 30.351633,-97.862223 30.354251,-97.857186 30.354703,-97.850786 30.351603,-97.847465 30.346705,-97.845193 30.340398,-97.844448 30.336255,-97.844357 30.330905,-97.842668 30.32622,-97.841488 30.325145,-97.83859 30.324015,-97.835878 30.323921,-97.830636 30.325226,-97.825661 30.32907,-97.824598 30.330115,-97.819138 30.336511,-97.814247 30.341821,-97.812441 30.344135,-97.809512 30.349154,-97.806937 30.351499,-97.804075 30.352277,-97.800089 30.351591,-97.796826 30.349986,-97.791907 30.358063,-97.791352 30.359289,-97.792991 30.360116,-97.795547 30.362977,-97.798083 30.36632,-97.801357 30.368644,-97.80306 30.371016,-97.804686 30.374592,-97.805364 30.376893,-97.807083 30.379421,-97.808988 30.38081,-97.811476 30.381934,-97.813543 30.382428,-97.816359 30.382572,-97.817738 30.383088,-97.827313 30.389824,-97.830158 30.391503,-97.832536 30.392146,-97.839375 30.39224,-97.844422 30.393782,-97.845468 30.394537,-97.844915 30.396165,-97.845652 30.397678,-97.844974 30.398904,-97.846184 30.399704,-97.846146 30.402237,-97.846746 30.403866,-97.852479 30.406595,-97.854021 30.403777,-97.857106 30.397877))",0.5079
"POLYGON ((-97.906848 30.332695,-97.909413 30.330453,-97.907953 30.326916,-97.907612 30.324356,-97.908121 30.320758,-97.909575 30.317455,-97.911257 30.314666,-97.909822 30.312986,-97.908866 30.309833,-97.90727 30.309671,-97.904736 30.308265,-97.904673 30.303619,-97.902702 30.30262,-97.89788 30.298656,-97.896977 30.296928,-97.898149 30.295422,-97.899802 30.29449,-97.901766 30.292726,-97.90214 30.291839,-97.9007 30.28926,-97.897969 30.289623,-97.895611 30.2913,-97.891638 30.295415,-97.889196 30.295248,-97.887409 30.293003,-97.886131 30.289191,-97.884213 30.286971,-97.881868 30.286916,-97.880321 30.288633,-97.880214 30.291105,-97.881526 30.293852,-97.881299 30.29566,-97.880168 30.296201,-97.879303 30.297595,-97.87632 30.298975,-97.873269 30.297316,-97.870838 30.297158,-97.869282 30.298778,-97.86803 30.300985,-97.868588 30.301881,-97.868429 30.303648,-97.86931 30.304976,-97.869095 30.306251,-97.867691 30.306765,-97.86639 30.306194,-97.86438 30.30312,-97.864235 30.299473,-97.862597 30.300294,-97.862518 30.302267,-97.866178 30.308539,-97.865808 30.310319,-97.864707 30.312297,-97.863485 30.312784,-97.864729 30.316716,-97.865638 30.31781,-97.861977 30.318305,-97.860363 30.317528,-97.858697 30.316068,-97.851798 30.31301,-97.848781 30.310816,-97.845593 30.310119,-97.843279 30.310379,-97.841745 30.3141,-97.840567 30.315322,-97.838934 30.318494,-97.838744 30.320946,-97.83738 30.3217,-97.834636 30.32209,-97.835878 30.323921,-97.83859 30.324015,-97.841488 30.325145,-97.842668 30.32622,-97.844357 30.330905,-97.844448 30.336255,-97.845193 30.340398,-97.847465 30.346705,-97.850786 30.351603,-97.857186 30.354703,-97.862223 30.354251,-97.8664 30.351633,-97.874417 30.346169,-97.87987 30.344291,-97.880487 30.344003,-97.894487 30.341703,-97.899887 30.339903,-97.90749 30.333131,-97.906848 30.332695))",0.5045
